2.54883, -3.06318
2.54962, -3.06489
2.54723, -3.06667
2.54703, -3.06851
2.54762, -3.072
2.54622, -3.07206
2.54525, -3.07105
2.54662, -3.07283
2.54522, -3.07544
2.54563, -3.07443
2.54323, -3.0755
2.54282, -3.07443
2.54301, -3.07455
2.54201, -3.07443
2.54541, -3.07348
2.54561, -3.07532
2.5462, -3.07437
2.54561, -3.07443
2.54358, -3.07092
2.54179, -3.06798
2.53436, -3.05622
2.50506, -3.002
2.48004, -2.96352
2.35566, -2.73143
2.34326, -2.67203
2.32679, -2.61961
2.31565, -2.57391
2.3182, -2.53252
2.32127, -2.44586
2.32337, -2.40653
2.32887, -2.37006
2.33437, -2.32974
2.33887, -2.29777
2.35676, -2.24692
2.37134, -2.23236
2.387, -2.22995
2.40319, -2.22637
2.42039, -2.22685
2.44072, -2.23041
2.46269, -2.23435
2.48533, -2.24347
2.5108, -2.25421
2.53302, -2.26325
2.56528, -2.27852
2.58001, -2.28221
2.60895, -2.33069
2.61298, -2.38971
2.61416, -2.46173
2.61726, -2.57648
2.61848, -2.6576
2.61561, -2.68773
2.60055, -2.72133
2.59226, -2.73922
2.58682, -2.76125
2.56432, -2.81818
2.54645, -2.85525
2.53794, -2.87688
2.53227, -2.90193
2.52515, -2.92549
2.51755, -2.94902
2.50774, -2.96433
2.49497, -2.97399
2.48223, -2.98481
2.47228, -3.00243
2.45955, -3.02018
2.44667, -3.03754
2.4296, -3.05085
2.41172, -3.06664
2.39366, -3.07868
2.37221, -3.08227
2.32148, -3.06414
2.29756, -3.06119
2.27461, -3.06386
2.22374, -3.10312
2.1976, 3.13801
2.18392, 3.121
2.16927, 3.10494
2.15525, 3.08967
2.14239, 3.08158
2.12736, 3.08231
2.11416, 3.09217
2.09866, 3.11269
2.08174, -3.14069
2.0351, -3.0341
2.0206, -2.9927
2.00993, -2.95267
1.99767, -2.87258
1.99792, -2.83591
2.00247, -2.80123
2.00811, -2.76794
2.01346, -2.73364
2.02359, -2.69671
2.03478, -2.6578
2.09563, -2.50102
2.137, -2.44225
2.27999, -2.34416
2.30294, -2.32095
2.32742, -2.29448
2.35033, -2.26709
2.40191, -2.22739
2.43004, -2.22381
2.45739, -2.22177
2.47852, -2.21375
2.49153, -2.19473
2.49346, -2.17982
2.49225, -2.17946
2.49144, -2.28088
2.49292, -2.31203
2.49426, -2.34236
2.31514, 2.89724
2.2884, 2.92134
2.23517, 2.99921
2.29664, 2.60943
2.28085, 2.61799
2.2696, 2.65952
2.37882, -1.80709
2.37829, -1.78894
2.37549, -1.76819
